t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596597996,0,0.000000,0.000000,0.000000,0.000000,events/second
1596597999,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598002,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598005,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598008,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598011,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598014,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598017,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598020,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598023,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598026,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598029,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598032,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598035,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598038,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598041,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598044,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598047,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598050,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598053,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598056,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598059,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598062,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598065,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598068,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598071,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598074,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598077,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598080,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598083,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598086,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598089,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598092,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598095,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598098,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598101,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598104,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598107,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598110,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598113,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598116,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598119,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598122,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598125,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598128,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598131,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598134,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598137,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598140,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598143,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598146,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598149,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598152,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598155,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598158,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598161,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598164,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598167,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598170,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598173,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598176,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598179,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598182,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598185,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598188,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598191,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598194,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598197,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598200,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598203,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598206,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598209,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598212,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598215,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598218,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598221,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598224,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598227,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598230,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598233,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598236,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598239,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598248,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598251,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598254,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598257,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598260,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598263,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598266,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598269,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598272,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598275,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598278,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598281,0,0.000000,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596598558,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598561,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598564,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598567,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598570,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598573,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598576,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598579,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598582,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598585,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598588,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598591,0,0.000000,0.000000,0.000000,0.000000,events/second
1596598594,0,0.000000,0.000000,0.000000,0.000000,events/second
t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1596677242,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677245,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677248,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677251,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677254,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677257,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677260,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677263,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677266,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677269,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677272,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677275,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677278,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677281,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677284,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677287,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677290,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677293,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677296,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677299,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677302,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677305,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677308,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677311,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677314,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677317,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677320,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677323,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677326,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677329,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677332,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677335,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677338,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677341,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677344,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677347,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677350,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677353,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677356,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677359,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677362,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677365,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677368,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677371,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677374,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677377,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677380,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677383,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677386,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677389,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677392,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677395,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677398,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677401,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677404,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677407,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677410,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677413,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677416,0,0.000000,0.000000,0.000000,0.000000,events/second
1596677419,0,0.000000,0.000000,0.000000,0.000000,events/second
